links,location
https://raw.githubusercontent.com/Codecademy/docs/main/media/,/Users/caupolicandiaz/docs/documentation/style-guide.md
https://static-assets.codecademy.com/Courses/,/Users/caupolicandiaz/docs/documentation/style-guide.md
"http
139/tcp",/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/tcp-syn-scan/tcp-syn-scan.md
"http
135/tcp",/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/tcp-connect-scan/tcp-connect-scan.md
"http
135/tcp",/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/os-detection/os-detection.md
"http
135/tcp",/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/nmap-scan/nmap-scan.md
httpd,/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/nmap-version-detection/nmap-version-detection.md
httpd,/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/aggressive-scan/aggressive-scan.md
http-title:,/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/aggressive-scan/aggressive-scan.md
http-favicon:,/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/aggressive-scan/aggressive-scan.md
http-server-header:,/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/aggressive-scan/aggressive-scan.md
"http
135/tcp",/Users/caupolicandiaz/docs/content/cybersecurity/concepts/nmap/terms/no-ping-scan/no-ping-scan.md
https://gdpr-info.eu/,/Users/caupolicandiaz/docs/content/cybersecurity/concepts/risk/risk.md
"https://themes.getbootstrap.com

##",/Users/caupolicandiaz/docs/content/open-source/concepts/bootstrap/bootstrap.md
https://kit.fontawesome.com/kitcode.js,/Users/caupolicandiaz/docs/content/open-source/concepts/font-awesome/font-awesome.md
http://www.something.come/path/with/opening_bracket[,/Users/caupolicandiaz/docs/content/python/concepts/glob-module/terms/escape/escape.md
http://www.something.come/path/with/asterisk*,/Users/caupolicandiaz/docs/content/python/concepts/glob-module/terms/escape/escape.md
http://www.something.come/path/with/question_mark?,/Users/caupolicandiaz/docs/content/python/concepts/glob-module/terms/escape/escape.md
https://www.codecademy.com/resources/docs/general/ide,/Users/caupolicandiaz/docs/content/python/concepts/idle/idle.md
https://www.codecademy.com/resources/docs/python/set,/Users/caupolicandiaz/docs/content/python/concepts/built-in-functions/terms/len/len.md
"https://docs.python.org/3.10/tutorial/.

Enter",/Users/caupolicandiaz/docs/content/python/concepts/built-in-functions/terms/help/help.md
https://raw.githubusercontent.com/prust/wikipedia-movie-data/master/movies.json,/Users/caupolicandiaz/docs/content/python/concepts/json-module/terms/load/load.md
https://httpbin.org/delete,/Users/caupolicandiaz/docs/content/python/concepts/requests-module/terms/delete/delete.md
https://httpbin.org/put,/Users/caupolicandiaz/docs/content/python/concepts/requests-module/terms/put/put.md
https://httpbin.org/put,/Users/caupolicandiaz/docs/content/python/concepts/requests-module/terms/put/put.md
https://codecademy.com/cat-pictures,/Users/caupolicandiaz/docs/content/python/concepts/requests-module/terms/get/get.md
"https://raw.githubusercontent.com/Codecademy/docs/main/media/css-z-index-gray.png
[black",/Users/caupolicandiaz/docs/content/css/concepts/position/terms/z-index/z-index.md
"https://raw.githubusercontent.com/Codecademy/docs/main/media/css-z-index-black.png

The",/Users/caupolicandiaz/docs/content/css/concepts/position/terms/z-index/z-index.md
https://i.imgur.com/D8RwBsM.png,/Users/caupolicandiaz/docs/content/css/concepts/variables/variables.md
https://www.codecademy.com/resources/docs/general/jit-compilation],/Users/caupolicandiaz/docs/content/general/concepts/programming-optimization/programming-optimization.md
"http://localhost:8888.
",/Users/caupolicandiaz/docs/content/general/concepts/data-science/terms/jupyter-notebook/jupyter-notebook.md
https://www.behavr.com/,/Users/caupolicandiaz/docs/content/general/concepts/virtual-reality/virtual-reality.md
https://globetrotter-vr.com/,/Users/caupolicandiaz/docs/content/general/concepts/virtual-reality/virtual-reality.md
"https://www.codecademy.com/resources/blog/what-is-web-development/
",/Users/caupolicandiaz/docs/content/general/concepts/url/url.md
"https://www.codecademy.com/learn
",/Users/caupolicandiaz/docs/content/general/concepts/cors/terms/access-control-allow-origin/access-control-allow-origin.md
https://www.idsoftware.com,/Users/caupolicandiaz/docs/content/general/concepts/historical-technical-figures/terms/john-carmack/john-carmack.md
https,/Users/caupolicandiaz/docs/content/general/concepts/uri/uri.md
https://www.codecademy.com/resources/docs/general/programming-paradigms/abstraction,/Users/caupolicandiaz/docs/content/general/concepts/rest/rest.md
https://www.codecademy.com/resources/docs>,/Users/caupolicandiaz/docs/content/markdown/concepts/links/links.md
"https://www.codecademy.com/resources/docs>
-",/Users/caupolicandiaz/docs/content/markdown/concepts/links/links.md
"https://www.typescriptlang.org/play.

It",/Users/caupolicandiaz/docs/content/typescript/concepts/about-typescript/about-typescript.md
"https://typescriptlang.org
-",/Users/caupolicandiaz/docs/content/typescript/concepts/about-typescript/about-typescript.md
"https://github.com/microsoft/typescript
",/Users/caupolicandiaz/docs/content/typescript/concepts/about-typescript/about-typescript.md
"https://raw.githubusercontent.com/Codecademy/docs/main/media/html-rowspan.png

The",/Users/caupolicandiaz/docs/content/html/concepts/tables/terms/rowspan/rowspan.md
"https://raw.githubusercontent.com/Codecademy/docs/main/media/html-colspan.png

The",/Users/caupolicandiaz/docs/content/html/concepts/tables/terms/colspan/colspan.md
https://www.nps.gov/caco/index.html,/Users/caupolicandiaz/docs/content/html/concepts/iframes/iframes.md
https://i.imgur.com/vunCiar.png,/Users/caupolicandiaz/docs/content/html/concepts/iframes/iframes.md
http://server1,/Users/caupolicandiaz/docs/content/html/concepts/forms/forms.md
https://i.imgur.com/fMWV8DY.png,/Users/caupolicandiaz/docs/content/html/concepts/classes/classes.md
https://i.imgur.com/2uIJMAq.png,/Users/caupolicandiaz/docs/content/html/concepts/classes/classes.md
https://codecademy.com/sign-up,/Users/caupolicandiaz/docs/content/html/concepts/elements/terms/form/form.md
https://codecademy.com/sign-up,/Users/caupolicandiaz/docs/content/html/concepts/elements/terms/form/form.md
https://youtube.com/captions.vtt,/Users/caupolicandiaz/docs/content/html/concepts/elements/terms/track/track.md
"https\:<span>\/\/codecademy\.com/resources/docs**

",/Users/caupolicandiaz/docs/content/html/concepts/file-paths/file-paths.md
https://www.codecademy.com/resources/docs/php/array,/Users/caupolicandiaz/docs/content/php/concepts/math-functions/terms/max/max.md
https://www.codecademy.com/resources/docs/general/terminal,/Users/caupolicandiaz/docs/content/command-line/concepts/environment-variables/environment-variables.md
https://www.codecademy.com/resources/docs/general/class,/Users/caupolicandiaz/docs/content/powershell/concepts/objects/objects.md
https://cloud.google.com/,/Users/caupolicandiaz/docs/content/cloud-computing/concepts/cloud-services/cloud-services.md
https://www.codecademy.com/resources/docs/general/machine-learning,/Users/caupolicandiaz/docs/content/cloud-computing/concepts/cloud-services/cloud-services.md
https://www.codecademy.com/resources/docs/uiux/images,/Users/caupolicandiaz/docs/content/uiux/concepts/content-hierarchy/content-hierarchy.md
https://uxpamagazine.org/dear-diary-using-diaries-to-study-user-experience/,/Users/caupolicandiaz/docs/content/uiux/concepts/diary-study/diary-study.md
https://help.figma.com/hc/en-us/articles/360040623954-Add-fills-to-text-and-shape-layers,/Users/caupolicandiaz/docs/content/uiux/concepts/fill/fill.md
https://help.figma.com/hc/en-us/articles/360049283914-Apply-and-adjust-stroke-properties,/Users/caupolicandiaz/docs/content/uiux/concepts/stroke/stroke.md
https://help.figma.com/hc/en-us/articles/360050986854-Adjust-corner-radius-and-smoothing,/Users/caupolicandiaz/docs/content/uiux/concepts/corner-radius/corner-radius.md
https://designthinking.ideo.com/,/Users/caupolicandiaz/docs/content/uiux/concepts/design-methodologies/design-methodologies.md
https://www.editorx.com/shaping-design/article/typefaces-vs-fonts,/Users/caupolicandiaz/docs/content/uiux/concepts/text-properties/text-properties.md
https://help.figma.com/hc/en-us/articles/360039956634-Explore-text-properties,/Users/caupolicandiaz/docs/content/uiux/concepts/text-properties/text-properties.md
https://help.figma.com/hc/en-us/articles/360051748654/,/Users/caupolicandiaz/docs/content/uiux/concepts/animation/animation.md
https://www.designcouncil.org.uk/our-work/skills-learning/resources/11-lessons-managing-design-global-brands,/Users/caupolicandiaz/docs/content/uiux/concepts/double-diamond-diagram/double-diamond-diagram.md
https://help.figma.com/hc/en-us/articles/360041098433-Adjust-the-properties-of-an-image,/Users/caupolicandiaz/docs/content/uiux/concepts/image/image.md
https://mixpanel.com/blog/what-is-ux-analytics/,/Users/caupolicandiaz/docs/content/uiux/concepts/web-analytics/web-analytics.md
https://www.uxbooth.com/articles/complete-beginners-guide-to-web-analytics-and-measurement/,/Users/caupolicandiaz/docs/content/uiux/concepts/web-analytics/web-analytics.md
https://designthinking.ideo.com/,/Users/caupolicandiaz/docs/content/uiux/concepts/design-thinking/design-thinking.md
https://help.figma.com/hc/en-us/articles/360039956914-Adjust-alignment-rotation-and-position#Position,/Users/caupolicandiaz/docs/content/uiux/concepts/x-y-coordinates/x-y-coordinates.md
https://help.figma.com/hc/en-us/articles/360041003774-Apply-paints-with-the-color-picker,/Users/caupolicandiaz/docs/content/uiux/concepts/color-picker/color-picker.md
https://help.figma.com/hc/en-us/articles/360043042113,/Users/caupolicandiaz/docs/content/uiux/concepts/color-picker/color-picker.md
https://www.open-roberta.org,/Users/caupolicandiaz/docs/content/ai/concepts/foundation-models/terms/large-language-models/large-language-models.md
